AERONET Data Download (Version 3 Direct Sun and Inversion Algorithms)
AERONET Version 3
BONDVILLE
Version 3: Almucantar Level 2.0 Inversion
The following data are automatically cloud cleared and quality assured with pre-field and post-field calibration applied.
Daily Averages,Contact: PI=Christopher_M.B._Lehmann_and_Pawan_Gupta_and_Elena_Lind; PI Email=clehmann@illinois.edu_and_pawan.gupta@nasa.gov_and_elena.lind@nasa.gov 
AERONET_AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(fraction),Asymmetry_Factor-Total[440nm],Asymmetry_Factor-Total[675nm],Asymmetry_Factor-Total[870nm],Asymmetry_Factor-Total[1020nm],Asymmetry_Factor-Fine[440nm],Asymmetry_Factor-Fine[675nm],Asymmetry_Factor-Fine[870nm],Asymmetry_Factor-Fine[1020nm],Asymmetry_Factor-Coarse[440nm],Asymmetry_Factor-Coarse[675nm],Asymmetry_Factor-Coarse[870nm],Asymmetry_Factor-Coarse[1020nm],Sphericity_Factor(%),N[Asymmetry_Factor-Total[440nm]],N[Asymmetry_Factor-Total[675nm]],N[Asymmetry_Factor-Total[870nm]],N[Asymmetry_Factor-Total[1020nm]],N[Asymmetry_Factor-Fine[440nm]],N[Asymmetry_Factor-Fine[675nm]],N[Asymmetry_Factor-Fine[870nm]],N[Asymmetry_Factor-Fine[1020nm]],N[Asymmetry_Factor-Coarse[440nm]],N[Asymmetry_Factor-Coarse[675nm]],N[Asymmetry_Factor-Coarse[870nm]],N[Asymmetry_Factor-Coarse[1020nm]],N[Sphericity_Factor(%)],Latitude(Degrees),Longitude(Degrees),Elevation(m),Level,Retrieval_Measurement_Scan_Type
BONDVILLE,28:08:2023,12:00:00,240,240.000000,0.692706,0.619645,0.558049,0.519236,0.687538,0.609619,0.536597,0.480527,0.912952,0.794980,0.753141,0.739103,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,29:08:2023,12:00:00,241,241.000000,0.695870,0.611772,0.559520,0.536659,0.680997,0.580352,0.499613,0.443321,0.945191,0.825632,0.776369,0.756053,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,30:08:2023,12:00:00,242,242.000000,0.725348,0.679797,0.650146,0.641557,0.689285,0.625707,0.563390,0.520856,1.053071,0.881831,0.841059,0.824094,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,31:08:2023,12:00:00,243,243.000000,0.709051,0.667461,0.644625,0.637551,0.670525,0.613563,0.566849,0.537623,1.006627,0.854778,0.813456,0.794715,-999.000000,7,7,7,7,7,7,7,7,7,7,7,7,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,01:09:2023,12:00:00,244,244.000000,0.697426,0.647454,0.614819,0.603359,0.673385,0.607648,0.551418,0.516706,1.042402,0.877577,0.833381,0.810404,-999.000000,9,9,9,9,9,9,9,9,9,9,9,9,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,02:09:2023,12:00:00,245,245.000000,0.700342,0.604151,0.556369,0.541494,0.684482,0.564785,0.482005,0.429329,0.945052,0.833182,0.790066,0.771299,-999.000000,6,6,6,6,6,6,6,6,6,6,6,6,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,09:09:2023,12:00:00,252,252.000000,0.690145,0.639322,0.600826,0.581304,0.680318,0.621541,0.571120,0.538972,1.018378,0.888880,0.842564,0.815258,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,10:09:2023,12:00:00,253,253.000000,0.699768,0.627739,0.582752,0.563013,0.684621,0.597945,0.530162,0.485673,0.932050,0.823012,0.776206,0.756020,-999.000000,3,3,3,3,3,3,3,3,3,3,3,3,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,13:09:2023,12:00:00,256,256.000000,0.699487,0.642487,0.607099,0.593268,0.677158,0.604303,0.541641,0.497526,1.006682,0.872415,0.821191,0.799099,-999.000000,6,6,6,6,6,6,6,6,6,6,6,6,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,14:09:2023,12:00:00,257,257.000000,0.696565,0.650032,0.617793,0.606811,0.677366,0.618058,0.567347,0.535986,1.076633,0.918344,0.857946,0.834947,-999.000000,5,5,5,5,5,5,5,5,5,5,5,5,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,15:09:2023,12:00:00,258,258.000000,0.698116,0.641031,0.607865,0.597862,0.676821,0.600521,0.538104,0.496097,1.008646,0.867063,0.814653,0.793169,-999.000000,5,5,5,5,5,5,5,5,5,5,5,5,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,19:09:2023,12:00:00,262,262.000000,0.705686,0.627312,0.592785,0.584830,0.681327,0.580408,0.513972,0.472022,0.954754,0.838672,0.794692,0.778458,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,23:09:2023,12:00:00,266,266.000000,0.700962,0.619727,0.584804,0.579738,0.678147,0.565732,0.485010,0.430908,0.953896,0.837019,0.793198,0.775328,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,29:09:2023,12:00:00,272,272.000000,0.717155,0.716855,0.693697,0.683438,0.683284,0.671506,0.622941,0.584748,1.073986,0.924192,0.878223,0.852425,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,30:09:2023,12:00:00,273,273.000000,0.730687,0.680087,0.661951,0.661792,0.681992,0.588114,0.506151,0.448749,0.990687,0.847729,0.811726,0.794663,-999.000000,7,7,7,7,7,7,7,7,7,7,7,7,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,01:10:2023,12:00:00,274,274.000000,0.706053,0.662849,0.648628,0.650010,0.656930,0.576830,0.512019,0.468835,1.044688,0.872351,0.834413,0.818220,-999.000000,7,7,7,7,7,7,7,7,7,7,7,7,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,02:10:2023,12:00:00,275,275.000000,0.697598,0.653237,0.644476,0.647514,0.639245,0.566617,0.514846,0.480894,1.010174,0.847938,0.817052,0.803099,-999.000000,6,6,6,6,6,6,6,6,6,6,6,6,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,03:10:2023,12:00:00,276,276.000000,0.690657,0.657359,0.656629,0.666625,0.644270,0.574833,0.521291,0.484123,0.982318,0.839907,0.810728,0.799819,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,04:10:2023,12:00:00,277,277.000000,0.667487,0.636296,0.618844,0.609906,0.645658,0.607841,0.578955,0.558584,1.102217,0.904068,0.852631,0.824070,-999.000000,1,1,1,1,1,1,1,1,1,1,1,1,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,06:10:2023,12:00:00,279,279.000000,0.712174,0.691142,0.686054,0.686894,0.663678,0.636807,0.606962,0.583085,1.071206,0.881072,0.856933,0.846448,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,07:10:2023,12:00:00,280,280.000000,0.699345,0.692505,0.672973,0.659922,0.678018,0.670134,0.639060,0.611645,1.097056,0.911138,0.877060,0.860486,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,09:10:2023,12:00:00,282,282.000000,0.702660,0.664595,0.637396,0.620194,0.684526,0.639720,0.599967,0.569008,1.037096,0.880470,0.833990,0.815342,-999.000000,3,3,3,3,3,3,3,3,3,3,3,3,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,10:10:2023,12:00:00,283,283.000000,0.742913,0.695090,0.687482,0.684457,0.659653,0.609842,0.574499,0.549828,1.046191,0.832248,0.803793,0.788622,-999.000000,3,3,3,3,3,3,3,3,3,3,3,3,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,12:10:2023,12:00:00,285,285.000000,0.665158,0.605140,0.600019,0.609243,0.623545,0.515382,0.447676,0.405750,0.974908,0.846105,0.810883,0.793480,-999.000000,5,5,5,5,5,5,5,5,5,5,5,5,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,15:10:2023,12:00:00,288,288.000000,0.668520,0.633596,0.627840,0.630641,0.640372,0.588592,0.559831,0.540755,1.061175,0.904020,0.854175,0.832060,-999.000000,1,1,1,1,1,1,1,1,1,1,1,1,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,17:10:2023,12:00:00,290,290.000000,0.712960,0.658853,0.642051,0.641684,0.667646,0.585949,0.530117,0.494416,1.044847,0.906596,0.860953,0.842958,-999.000000,1,1,1,1,1,1,1,1,1,1,1,1,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,20:10:2023,12:00:00,293,293.000000,0.724885,0.693129,0.701624,0.708523,0.644001,0.579048,0.537183,0.506877,1.095346,0.900894,0.866371,0.846908,-999.000000,3,3,3,3,3,3,3,3,3,3,3,3,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,21:10:2023,12:00:00,294,294.000000,0.723397,0.684345,0.690290,0.695998,0.600794,0.519008,0.470894,0.440605,0.998829,0.816634,0.790704,0.776516,-999.000000,7,7,7,7,7,7,7,7,7,7,7,7,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,22:10:2023,12:00:00,295,295.000000,0.683071,0.635290,0.611223,0.600586,0.669658,0.613583,0.577505,0.554923,1.053075,0.898025,0.841478,0.817471,-999.000000,3,3,3,3,3,3,3,3,3,3,3,3,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,23:10:2023,12:00:00,296,296.000000,0.665625,0.626004,0.624691,0.635082,0.615516,0.526681,0.471488,0.439888,0.944009,0.815217,0.783011,0.769884,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,30:10:2023,12:00:00,303,303.000000,0.668243,0.627608,0.594436,0.580508,0.659841,0.611917,0.564703,0.532202,1.017929,0.877554,0.828769,0.812762,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,31:10:2023,12:00:00,304,304.000000,0.703023,0.652555,0.623515,0.619364,0.680789,0.608842,0.546647,0.504071,1.058125,0.909433,0.856116,0.834591,-999.000000,1,1,1,1,1,1,1,1,1,1,1,1,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,01:11:2023,12:00:00,305,305.000000,0.678541,0.617684,0.582897,0.568232,0.671595,0.603607,0.557245,0.528481,1.025193,0.889895,0.837879,0.817909,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,02:11:2023,12:00:00,306,306.000000,0.653244,0.613251,0.610567,0.620111,0.618572,0.548609,0.508497,0.484905,1.026167,0.869196,0.826448,0.809383,-999.000000,10,10,10,10,10,10,10,10,10,10,10,10,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,05:11:2023,12:00:00,309,309.000000,0.679203,0.607861,0.575699,0.567368,0.667775,0.584589,0.535032,0.506428,0.918203,0.812760,0.769104,0.754632,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,07:11:2023,12:00:00,311,311.000000,0.676567,0.626781,0.630612,0.642894,0.624856,0.527323,0.465262,0.424204,0.953529,0.821914,0.798401,0.786311,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,08:11:2023,12:00:00,312,312.000000,0.689359,0.647600,0.643892,0.648525,0.643989,0.553547,0.493634,0.455855,0.884142,0.798781,0.776219,0.762909,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,10:11:2023,12:00:00,314,314.000000,0.666427,0.628579,0.629676,0.639504,0.609833,0.519121,0.461034,0.424628,0.938827,0.811750,0.785010,0.772298,-999.000000,9,9,9,9,9,9,9,9,9,9,9,9,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,11:11:2023,12:00:00,315,315.000000,0.673179,0.618635,0.603242,0.603793,0.651576,0.574107,0.524387,0.492800,0.951509,0.834264,0.800478,0.787683,-999.000000,6,6,6,6,6,6,6,6,6,6,6,6,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,12:11:2023,12:00:00,316,316.000000,0.657379,0.611606,0.609580,0.617178,0.627809,0.548925,0.503189,0.473697,0.930445,0.817656,0.789851,0.779107,-999.000000,6,6,6,6,6,6,6,6,6,6,6,6,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,13:11:2023,12:00:00,317,317.000000,0.704250,0.672398,0.668789,0.667357,0.653707,0.609725,0.583276,0.564367,1.032623,0.863521,0.831076,0.810835,-999.000000,9,9,9,9,9,9,9,9,9,9,9,9,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,14:11:2023,12:00:00,318,318.000000,0.655927,0.624924,0.627288,0.632428,0.623782,0.575572,0.555952,0.542188,1.052904,0.884844,0.844833,0.828244,-999.000000,5,5,5,5,5,5,5,5,5,5,5,5,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,15:11:2023,12:00:00,319,319.000000,0.655520,0.634037,0.644519,0.657019,0.605827,0.547998,0.518445,0.499125,1.000772,0.856184,0.821219,0.806500,-999.000000,9,9,9,9,9,9,9,9,9,9,9,9,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,16:11:2023,12:00:00,320,320.000000,0.656300,0.608021,0.591826,0.600457,0.641805,0.579477,0.548038,0.538652,0.986358,0.860689,0.810853,0.800363,-999.000000,1,1,1,1,1,1,1,1,1,1,1,1,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,17:11:2023,12:00:00,321,321.000000,0.719996,0.670306,0.645319,0.635113,0.695901,0.625379,0.564449,0.519688,0.927597,0.827747,0.800298,0.786784,-999.000000,1,1,1,1,1,1,1,1,1,1,1,1,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,18:11:2023,12:00:00,322,322.000000,0.656155,0.639929,0.645271,0.654516,0.628339,0.599541,0.591046,0.587380,1.146421,0.950368,0.908577,0.888846,-999.000000,6,6,6,6,6,6,6,6,6,6,6,6,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,19:11:2023,12:00:00,323,323.000000,0.691234,0.665229,0.679570,0.691311,0.594223,0.516297,0.474098,0.447355,0.905434,0.780101,0.768537,0.763847,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,23:11:2023,12:00:00,327,327.000000,0.686916,0.659553,0.655844,0.665033,0.636653,0.574601,0.527341,0.496925,1.027651,0.856929,0.820479,0.807662,-999.000000,7,7,7,7,7,7,7,7,7,7,7,7,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,25:11:2023,12:00:00,329,329.000000,0.686105,0.625416,0.598328,0.590137,0.675513,0.605615,0.566530,0.545639,1.023442,0.886955,0.829813,0.806546,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,27:11:2023,12:00:00,331,331.000000,0.652776,0.606176,0.596880,0.601746,0.640202,0.583751,0.561073,0.549885,0.885878,0.788153,0.757844,0.755983,-999.000000,2,2,2,2,2,2,2,2,2,2,2,2,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,28:11:2023,12:00:00,332,332.000000,0.686849,0.632967,0.609213,0.605159,0.677642,0.616019,0.579719,0.559332,0.965876,0.847672,0.804311,0.795113,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,29:11:2023,12:00:00,333,333.000000,0.650941,0.612007,0.613161,0.622030,0.624042,0.566219,0.542942,0.528483,1.056097,0.897454,0.851719,0.833842,-999.000000,6,6,6,6,6,6,6,6,6,6,6,6,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,07:12:2023,12:00:00,341,341.000000,0.688453,0.661328,0.648301,0.646131,0.655089,0.605033,0.555466,0.519540,0.993030,0.848365,0.819898,0.804655,-999.000000,5,5,5,5,5,5,5,5,5,5,5,5,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,09:12:2023,12:00:00,343,343.000000,0.694510,0.663687,0.660571,0.665592,0.636628,0.575523,0.539208,0.516643,1.001263,0.866685,0.825859,0.807103,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,11:12:2023,12:00:00,345,345.000000,0.732778,0.671134,0.624152,0.599974,0.721864,0.648473,0.580907,0.530966,1.049643,0.921851,0.869582,0.851722,-999.000000,4,4,4,4,4,4,4,4,4,4,4,4,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,12:12:2023,12:00:00,346,346.000000,0.694305,0.633063,0.610203,0.601060,0.678079,0.606260,0.568729,0.546115,1.113379,0.955945,0.906010,0.881885,-999.000000,6,6,6,6,6,6,6,6,6,6,6,6,0,40.053333,-88.371944,212.000000,lev20,Almucantar
BONDVILLE,14:12:2023,12:00:00,348,348.000000,0.676953,0.631813,0.625048,0.625798,0.643935,0.577769,0.544470,0.524087,1.061343,0.896478,0.856111,0.833287,-999.000000,7,7,7,7,7,7,7,7,7,7,7,7,0,40.053333,-88.371944,212.000000,lev20,Almucantar
